[1, 'Сокольническая', 1, 'Бульвар Рокоссовского', '55.8148', '37.7342']
[6, 'Калужско-Рижская', 107, 'Академическая', '55.6877', '37.5733', 106]
[6, 'Калужско-Рижская', 108, 'Профсоюзная', '55.6780', '37.5627', 107]
[6, 'Калужско-Рижская', 109, 'Новые Черемушки', '55.6702', '37.5544', 108]
[6, 'Калужско-Рижская', 110, 'Калужская', '55.6571', '37.5405', 109]
[6, 'Калужско-Рижская', 111, 'Беляево', '55.6428', '37.5257', 110]
[6, 'Калужско-Рижская', 112, 'Коньково', '55.6333', '37.5188', 111]
[6, 'Калужско-Рижская', 113, 'Теплый Стан', '55.6191', '37.5082', 112]
[6, 'Калужско-Рижская', 114, 'Ясенево', '55.6063', '37.5333', 113]
[6, 'Калужско-Рижская', 115, 'Новоясеневская', '55.6010', '37.5541', 114]
[7, 'Таганско-Краснопресненская', 116, 'Планерная', '55.8607', '37.4364']
[7, 'Таганско-Краснопресненская', 117, 'Сходненская', '55.8505', '37.4396', 116]
[7, 'Таганско-Краснопресненская', 118, 'Тушинская', '55.8267', '37.4368', 117]
[7, 'Таганско-Краснопресненская', 119, 'Спартак', '55.8182', '37.4353', 118]
[7, 'Таганско-Краснопресненская', 120, 'Щукинская', '55.8086', '37.4641', 119]
[7, 'Таганско-Краснопресненская', 121, 'Октябрьское поле', '55.7935', '37.4935', 120]
[7, 'Таганско-Краснопресненская', 122, 'Полежаевская', '55.7775', '37.5192', 121]
[7, 'Таганско-Краснопресненская', 123, 'Беговая', '55.7738', '37.5468', 122]
[7, 'Таганско-Краснопресненская', 124, 'Улица 1905 года', '55.7650', '37.5613', 123]
[7, 'Таганско-Краснопресненская', 125, 'Баррикадная', '55.7612', '37.5795', 124]
[7, 'Таганско-Краснопресненская', 126, 'Пушкинская', '55.7650', '37.6079', 125]
[7, 'Таганско-Краснопресненская', 127, 'Кузнецкий мост', '55.7606', '37.6259', 126]
[7, 'Таганско-Краснопресненская', 128, 'Китай-город', '55.7553', '37.6333', 127]
[7, 'Таганско-Краснопресненская', 129, 'Таганская', '55.7402', '37.6522', 128]
[7, 'Таганско-Краснопресненская', 130, 'Пролетарская', '55.7319', '37.6659', 129]
[7, 'Таганско-Краснопресненская', 131, 'Волгоградский проспект', '55.7253', '37.6869', 130]
[7, 'Таганско-Краснопресненская', 132, 'Текстильщики', '55.7088', '37.7316', 131]
[7, 'Таганско-Краснопресненская', 133, 'Кузьминки', '55.7056', '37.7656', 132]
[7, 'Таганско-Краснопресненская', 134, 'Рязанский проспект', '55.7170', '37.7933', 133]
[7, 'Таганско-Краснопресненская', 135, 'Выхино', '55.7156', '37.8181', 134]
[7, 'Таганско-Краснопресненская', 136, 'Лермонтовский проспект', '55.7013', '37.8525', 135]
[7, 'Таганско-Краснопресненская', 137, 'Жулебино', '55.6855', '37.8563', 136]
[7, 'Таганско-Краснопресненская', 138, 'Котельники', '55.6743', '37.8582', 137]
[8, 'Калининская', 139, 'Парк Победы', '55.7362', '37.5182']
[8, 'Калининская', 140, 'Деловой центр', '55.7491', '37.5395', 139]
[8, 'Калининская', 141, 'Третьяковская', '55.7412', '37.6274']
[8, 'Калининская', 142, 'Марксистская', '55.7411', '37.6543', 141]
[8, 'Калининская', 143, 'Площадь Ильича', '55.7472', '37.6824', 142]
[8, 'Калининская', 144, 'Авиамоторная', '55.7524', '37.7191', 143]
[8, 'Калининская', 145, 'Шоссе Энтузиастов', '55.7576', '37.7500', 144]
[8, 'Калининская', 146, 'Перово', '55.7511', '37.7866', 145]
[8, 'Калининская', 147, 'Новогиреево', '55.7517', '37.8166', 146]
[8, 'Калининская', 148, 'Новокосино', '55.7451', '37.8638', 147]
[9, 'Серпуховско-Тимирязевская', 149, 'Алтуфьево', '55.8980', '37.5870']
[9, 'Серпуховско-Тимирязевская', 150, 'Бибирево', '55.8838', '37.6034', 149]
[9, 'Серпуховско-Тимирязевская', 151, 'Отрадное', '55.8633', '37.6047', 150]
[9, 'Серпуховско-Тимирязевская', 152, 'Владыкино', '55.8473', '37.5899', 151]
[9, 'Серпуховско-Тимирязевская', 153, 'Петровско-Разумовская', '55.8351', '37.5745', 152]
[9, 'Серпуховско-Тимирязевская', 154, 'Тимирязевская', '55.8176', '37.5765', 153]
[9, 'Серпуховско-Тимирязевская', 155, 'Дмитровская', '55.8069', '37.5817', 154]
[9, 'Серпуховско-Тимирязевская', 156, 'Савеловская', '55.7927', '37.5885', 155]
[9, 'Серпуховско-Тимирязевская', 157, 'Менделеевская', '55.7810', '37.6011', 156]
[9, 'Серпуховско-Тимирязевская', 158, 'Цветной бульвар', '55.7708', '37.6187', 157]
[9, 'Серпуховско-Тимирязевская', 159, 'Чеховская', '55.7644', '37.6097', 158]
[9, 'Серпуховско-Тимирязевская', 160, 'Боровицкая', '55.7511', '37.6072', 159]
[9, 'Серпуховско-Тимирязевская', 161, 'Полянка', '55.7379', '37.6180', 160]
[9, 'Серпуховско-Тимирязевская', 162, 'Серпуховская', '55.7280', '37.6246', 161]
[9, 'Серпуховско-Тимирязевская', 163, 'Тульская', '55.7087', '37.6229', 162]
[9, 'Серпуховско-Тимирязевская', 164, 'Нагатинская', '55.6830', '37.6224', 163]
[9, 'Серпуховско-Тимирязевская', 165, 'Нагорная', '55.6724', '37.6104', 164]
[9, 'Серпуховско-Тимирязевская', 166, 'Нахимовский проспект', '55.6627', '37.6055', 165]
[9, 'Серпуховско-Тимирязевская', 167, 'Севастопольская', '55.6524', '37.5984', 166]
[9, 'Серпуховско-Тимирязевская', 168, 'Чертановская', '55.6405', '37.6067', 167]
[9, 'Серпуховско-Тимирязевская', 169, 'Южная', '55.6224', '37.6090', 168]
[9, 'Серпуховско-Тимирязевская', 170, 'Пражская', '55.6124', '37.6044', 169]
[9, 'Серпуховско-Тимирязевская', 171, 'Улица академика Янгеля', '55.5949', '37.6004', 170]
[9, 'Серпуховско-Тимирязевская', 172, 'Аннино', '55.5828', '37.5966', 171]
[9, 'Серпуховско-Тимирязевская', 173, 'Бульвар Дмитрия Донского', '55.5693', '37.5769', 172]
[10, 'Люблинско-Дмитровская', 174, 'Марьина роща', '55.7954', '37.6162']
[10, 'Люблинско-Дмитровская', 175, 'Достоевская', '55.7816', '37.6151', 174]
[10, 'Люблинско-Дмитровская', 176, 'Трубная', '55.7688', '37.6200', 175]
[10, 'Люблинско-Дмитровская', 177, 'Сретенский бульвар', '55.7668', '37.6392', 176]
[10, 'Люблинско-Дмитровская', 178, 'Чкаловская', '55.7565', '37.6573', 177]
[10, 'Люблинско-Дмитровская', 179, 'Римская', '55.7463', '37.6819', 178]
[10, 'Люблинско-Дмитровская', 180, 'Крестьянская застава', '55.7331', '37.6673', 179]
[10, 'Люблинско-Дмитровская', 181, 'Дубровка', '55.7186', '37.6760', 180]
[10, 'Люблинско-Дмитровская', 182, 'Кожуховская', '55.7074', '37.6851', 181]
